direction,entry_date,entry_price,shares,stop_price,exit_date,exit_price,exit_reason,pnl
long,2015-04-23,128.300003,233.16710684424828,124.01123339808534,2015-05-06,124.01123339808534,stop,-1000.000000000001
short,2015-06-30,125.57,268.39725504764874,129.25856231344184,2015-07-16,128.509995,signal,-789.0865878538149
long,2015-07-21,132.850006,237.41794941609507,128.71338054039657,2015-07-22,128.71338054039657,stop,-982.1091341214598
short,2015-08-04,117.419998,207.57423257661884,122.10404780093742,2015-09-14,115.309998,signal,437.9816307366686
long,2015-10-26,118.080002,182.23687483480617,112.72067030616502,2015-11-13,112.72067030616502,stop,-976.667859087614
short,2015-12-21,107.279999,185.4325159358331,112.49430122535148,2016-01-22,101.419998,signal,1086.6347288164973
long,2016-03-02,100.510002,194.9887403176208,95.49552000379755,2016-04-18,107.480003,signal,1359.0717150025566
short,2016-04-27,96.0,259.0297643139616,99.82719818921402,2016-05-20,95.220001,signal,202.0429571351267
long,2016-05-26,99.68,246.46565427488412,95.64950464587508,2016-06-17,95.64950464587508,stop,-993.3786745062799
short,2016-06-27,93.0,265.3481284950086,96.70624391940912,2016-07-08,96.70624391940912,stop,-983.4448877612151
long,2016-07-15,98.919998,313.13261380116234,95.81073886833434,2016-07-26,96.669998,signal,-704.5483810526152
long,2016-07-28,102.830002,271.45927913765786,99.26937604481601,2016-08-25,107.57,signal,1286.71644019394
short,2016-09-12,102.650002,329.38034057405514,105.62356173877504,2016-09-12,105.62356173877504,stop,-979.4321194750203
long,2016-09-15,113.860001,264.66777331971855,110.19639743346775,2016-11-01,111.489998,signal,-627.2634167710521
short,2016-11-02,111.400002,259.86764420501623,115.10713978954541,2016-11-21,111.730003,signal,-85.75658245529846
long,2016-12-12,113.290001,250.59058326434297,109.44904422600713,2017-02-16,135.350006,end_of_sample,5528.029519764324
